ActivePepper,A location-based mobile application that helps active people find the right sports partners and book sports facilities for their games.
Actual,"Actual creates sophisticated, custom investment plans for consumers and provides tools for investment advisers to evaluate complex financial products."
adapptED,adapptED making learning more effective by helping students and teachers identify and overcome the specific misunderstandings they have.
Aday Technologies,"Aday is a B2B human resources and operation platform that enables a paradigm to hire, schedule, and train employees"
Aditum,ADITUM is a medical e-learning platform. It provides health experts with an easy and simple way to create and share interactive medical cases.
AdmitHub,We make the college admissions process awesome for everyone involved.
adtime,adtime is a mobile platform that lets emerging market consumers recharge their mobile minutes by interacting with marketers and advertisers.
Aeiyr,We develop affordable wearable health device to monitor respiration. This is a solution to provide feedback for sleep apnea therapies
Aerospec Technologies,We use computer vision technology to accurately analyze asset anomalies
AESOP Technology,AESOP Technology aims to create a “smarter” prescription error detection system through machine-learning technology to enhance patient safety.
Aethos,We centralize fragmented athletic content throughout the web and organize it by athlete in order to create a platform that connects the athletic world.
Africa Healthcare Network,"Africa Healthcare Network aims to establish the first dialysis chain in Sub-Saharan Africa, offering high-quality, life-saving care at affordable cost. AHN combines world-class ..."
African Health Institute,Partnering with on-ground organizations to amend or optimize an accredited emergency healthcare training curriculum.
African World Entertainment (AWE),"A subscription-based streaming service that provides African film, music, news, and sports on-demand on internet devices"
Afriponics,Creating a network of greenhouses with sub-saharan adapted aquaponics units to eliminate produce imports.
After Flowers,"Left over event flowers = waste. After Flowers creates a mktplace 4 SMBs & indivs 2 buy this inventory 4 less, returning sunk costs to hosts."
AfterSteps,TurboTax for Death Preparation.
afyakit,"afyakit is powering cheaper, better informed care delivery by providing actionable, right-level analytics to health managers across Sub-Saharan Africa"
Agenda28,"Agenda28 designs digital products that create social impact for the end users of our products, our employees and the poverty-relief sector."
Agile Devices,"Agile Devices aims to transform a wide variety of interventional procedures, resulting in improved patient outcomes and large cost savings."
Agora,"Agora is a community of young Japanese female professionals, gathering together to inspire and support each other."
Agora,Agora will introduce a dialogue-based learning model to Japanese schools and businesses.
Aha!,An engaging web platform that connects unmotivated high school students with guidance counselors to have AHA! moments about their interests.
AIdentimages,"AIdentimages aims to change the way that doctors analyze medical images through AI, machine learning and 3D reconstruction technology."
Aikili Biosystems,"For breast cancer patients who lack access to effective diagnosis, Aikili provides a low cost, automated, accurate diagnosis at the point-of-care."
Airfox,"Using mobile and blockchain technology, Airfox is bringing financial inclusion to the billions of unbanked people in emerging markets."
Airr,Airr is building a better way to consume and share podcasts.
AirSkin,Oxygen and CO2 embedded wetsuit to protect surfers.
Akouos,Akouos is developing novel therapies and delivery systems to prevent hearing loss and restore hearing in genetically defined patient populations.
Aldatu Biosciences,Aldatu Biosciences is a biotechnology company applying its proprietary genotyping platform – PANDAA – to the development of innovative diagnostics designed to meet unmeet clinical needs ...
Algorithm,"Our algorithm can examine large percentage of known drugs all at once, and not one by one, as done by the existing algorithm and drug repositioning companies."
Aliro Quantum Technologies,Software to make today’s quantum computers accessible and useful to any software developer.
AllHere,AllHere is an app that increases K12 school attendance 10% a year by notifying families of student absenteeism and improving family engagement.
AllSpice,AllSpice is a software tool that lets hardware engineers automate their development and collaborate on designs.
allyDVM,"allyDVM, Inc. is the ultimate ally for doctors of veterinary medicine. allyDVM consists of two parts. First, it is a practice owner’s association that provides independent animal ..."
AlmaPact,"AlmaPact offers a new way to pay for school, where a student receives their required funding and, in return, guarantees a percentage of their income."
Alpha Vantage,Cloud-based financial market data & analytics platform
AlphaInvest,"AlphaInvest is an online platform that will democratize investing, bringing institutional-quality investment management to the broader market."
Ambasity,Ambasity streamlines the process in which freelance brand marketers are both hired and managed. The portal makes it easy for people to find and manage great talent for their events.
Ambika Botanicals,"Ambika Botanicals, natural and botanical body care products rejuvenate our connection with nature’s vitality."
Amble,"We developed an undergarment pair of leggings that reduces joint pain and stiffness, prevents muscle atrophy and integrates seamlessly into daily life"
Ameba,The Revolution of Education Technology
Amplify,"Amplify enables anyone to benefit from their social media presence, and helps brands market themselves through the social networks of their customers."
Amplify App,An app connecting local students and young professionals for career discovery beyond their typical social circles
AMRx,AMRx creates innovative solutions targeting antimicrobial resistance.
Analytical Space Inc.,ASI provides a data downlink service that enables satellite operators to get up to 3x more data back to the ground at a lower cost per GB.
"Anamiv, a healthier world","Anamiv is a sustainable business model for applying mHealth for the provision of evidence based primary healthcare in resource-restrained settings. In addition, the data generated will ..."
Anantara,"‘Anantara’ converts collector-only economies into craftsmen communities whose culturally rich, value-addition positively reinforces the environment."
Andon Analytics,"Andon Analytics reports on how your manufacturing lines are operating. Get real-time visibility, analytics and insights with a high degree of accuracy."
Angel Carrier,Angel Carrier is a logistical solution that utilized travelers’ unused baggage space to transport goods to people in need all around the world.
Antera Therapeutics,We are preventing allergy developments in infants.
Anuel Capital,Our enterprise solution is designed to help pay-as-you-go solar companies generate loan notes and power purchase agreements for unbanked communities.
ApnaTXT,Delivering information about child development and care to help mothers understand the factors influencing early childhood development.
AppStarter,AppStarter believes in the power of ideas and wants to level the playing field for the millions of mobile users with innovative app concepts but limited technical skills. AppStarter ...
AppSuccess,AppSuccess uses an interactive online platform to help low-income students who are qualified to go to college with the means to get there.
Aqua Bridge,"Safe drinking water through integration of water filtration, microbiological testing and a web-based Information Communication Technology."
Aqua Novus,"We reinvent water testing so everyone can better understand the water they drink daily. The key is a cheap, portable and easy-to-use water biosensor."
AquaPlastic,To mitigate the menace of plastic pollution we have developed AquaPlastic that is water-processable and biodegradable.
ArbiLex,"ArbiLex develops predictive analytics for international law, empowering international lawyers to make data-driven decisions in the most complex multi-jurisdictional cases."
Arbothera Inc.,Arbothera is creating a rapid response platform to combat global infectious diseases by designing “hyper” rational vaccines based on pathogen genomics and host immunological pathways.
Arcbazar,"Arcbazar is the first-of-its-kind crowdsourcing platform for architectural, interior and landscape design projects."
Archipelago,"Archipelago is a global, online, literary news magazine focused on issues of economic and political development. We focus on sourcing and developing aspiring writers or journalists from ..."
architect,"architect offers a drag-and-drop data science platform for creating, visualizing, and training machine learning models."
ArchSpike,ArchSpike aims to streamline the process of building design and development by integrating real estate market analytics with design software.
Archway Health Advisors,"Archway Health Advisors LLC provides advisory services for the healthcare industry. The company designs, executes, and finances care and risk management programs for providers. Its ..."
Arecibo,"Designing the future of life & work on the Moon, Mars, and the space in-between through a better human/machine relationship."
AreteX: Objective Assessment of Pain,Objective Method for Pain Assessment
Aretian Foundation,"To provide healthier, fresher meals affordable to urban communities by purchasing, processing, and distributing local food from New England farmers."
Art and Resistance Through Education,"Using art, design, and technology to educate and empower young people to develop creative solutions and bring awareness to local and global human rights challenges."
Artilion,"An elegant, robust and connected men’s weekender bag that kicks-off a French based, globally driven fashion brand for millennials."
ArtLifting,ArtLifting is a social enterprise that empowers homeless and disabled artists through the celebration and sale of their work. Many skilled artists participate in art groups at hospitals ...
ArtNext,"ArtNext is art as a subscription model. We are growing access to the art market by bringing gallery holdings to your home, at a fraction of the price."
ARTS,"Arts develops augmented reality applications for enterprise and consumer markets, focusing on training and perfecting sensorimotor skills."
ArtUp,"ArtUp will bring affordable artistic creations to everyone, unlock the potential of promising artists and be an alternative to the art mass market"
Asian Women’s Leadership University Project,"Establishing the first global women’s leadership university for women in the Middle East and Asia to cultivate a cadre of women leaders to advance social, political, and economic ..."
ASPEAK,Why should emerging scholars speak or write for free? We connect scholars with galleries and cultural institutions.
Aspyre Growth Accelerator,Aspyre develops management and system capabilities for high growth Agro-enterprises in Africa.
Aster,Aster is an mobile app that allows college students to receive support for mental illness from peer counselors.
Astoria Road,"Astoria Road (“AR”) is a new kind of wedding registry for the Net-Generation. AR provides a superior user experience through advanced social-media integration, a more intuitive user ..."
Astraeus Technologies,"We are building the L-CARD, a simple, inexpensive, breath-based lung cancer diagnostic test."
At Your Service,"At Your Service is a personalized online delivery and pickup platform offering services like grocery, alcohol, laundry and general pickup and drop-off."
Atelier,Atelier is an experience that combines the best in VR technology and brain research to deliver a personalized therapy that unlocks your creativity
Atomysis,We design a smart device installed onto a toilet and it automatically tests urine sample whenever a user pees to interpret health conditions.
auggi,auggi helps individuals with chronic gut disorders make better everyday decisions to keep symptoms at bay
AUGMENTx,We play a visual mind trick on the brain using augmented reality to accelerate neurological recovery in patients.
Auris,Auris allows consumers to self-diagnose and treat hearing loss at a vastly lower price than existing healthcare options.
Aurora FemTech,"Access to world-class contraception and fertility solutions, personalizing recommendations to meet sexual health goals."
Avant-garde Health,"Avant-garde Health empowers hospitals and clinicians with information and insights to deliver the highest quality, most cost-effective care."
Ayanda,"Ayanda uses offline technology to discover vendors, items, and to message other users entirely without the internet."
B.Mixt,"Be Mixed is a zero-calorie cocktail mixer in natural, mixology-inspired flavors that allows you to enjoy what you drink without the guilt. You’re better than a vodka soda."
Bab’l Books,Bab’l Books is dedicated to bring children’s books in all languages.
Babel @ Home,"Babel@Home is a translator for IoT languages, enabling customers to integrate new devices regardless of the protocols."
Baby Bidet,"Diapers are polluting, expensive & gross. Baby Bidet alerts parents BEFORE baby goes, provides potty & cleaning system."
Baby Buggle,"Baby Buggle allows parents to rent durable, non-emotional baby products, saving time, space, and money, we are Zipcar for baby products."
BabyCity,"As more parents enter the workforce and demand childcare and babysitters, they have become increasingly concerned about quality in early education. While daycare centers support ..."
BACprep,BACprep is the first large scale provider of affordable test prep services in francophone Africa
Bahasa,You can learn a new language while reading your click-bait articles.
BairSkin,BairSKIN is an oxygen- and CO2-embedded wet suit that provides a surfer with protection against drowning.
Baleen,"Baleen Labs has invented a new paradigm in database security, which will alter how information is stored and shared in enterprise settings."
Balloon,Balloon is a location-based event sharing app that helps users find where classmates are working together or meeting up.
BallotBox,"It incentivizes and randomly samples individuals to respond to election polls, profiting off subscriptions and data."
Bandshee,Wearable emergency response network that you won’t notice until you need it.
Bantu Coffee,Bantu sells specialty coffee and invests a significant portion of profits into coffee farmers and connects consumers to producers.
bao,"Stylish, multi-use and sustainable handbags that flatter but also matter.Handmade by women for women who want both the sustainability and the chicness"
Barato,"Safe, affordable medical procedures abroad."
Baroo,"Baroo provides convenient, high quality care for city-dwelling pets. Baroo offers full service pet care, conveniently delivered to your door. No need to dash home for a mid-day walk or ..."
Base 15 Studio,Base 15 Studio is a creative consultancy that revitalizes city culture through collectively organized action.
Base Operations,Everyone deserves to feel safe. Base Operations creatively uses data to help people and businesses make better decisions when it matters most.
bcalm,A natural wellness drink for mental clarity and stress-relief.
Beacon Biomimetics,PhonoGrafts 3D-printed from novel biodegradable ink can repair damaged eardrums and passively enhance sound conduction.
Beacon Genomics,Beacon Genomics enables safer genome editing via its exclusively licensed off-target specificity assays: GUIDE-Seq and CIRCLE-Seq.
BEAM,"In 2012, Bridging Education And Mobility (BEAM) was founded on the vision that anyone with an idea for a transformational educational project would have the funding and resources to ..."
BEAUTY LIES TRUTH,Pure. Powerful. Unformulated. Skincare.
Beauty Touch,fabulous products on-demand.
BeautyMotive,"BeautyMotive is the most innovative and effective marketing channel for cosmetics brands. We connect brands to our network of the most influential, passionate, and professional makeup ..."
Bebelot Detroit,"BEBELOT Detroit is an innovative design company that brings customizable, locally designed and produced trashcans to your interior."
bee me yogurt,"bee me yogurt seeks to bring fresh frozen yogurt to all of you: cafés, canteens, cinemas, gyms or just to your office. Our no-maintenance solution brings you not only the freshest ..."
BeenThere,"BeenThere provides online, 1-on-1 peer support to improve the mental wellness and personal development of Chinese youth."
BeFree!,BeFree! is developing a vaginal drug delivery platform technology to tackle areas of high met medical need in women’s health.
Beli,"An app optimized for finding, tracking, and sharing restaurants that provides reliable personalized recommendations"
Bensen,Bensen AI helps restaurants take more orders with fewer employees by automatically answering the phone as well as taking orders by text message and voice assistant. The company helps ...
BestReviews,Using big data to help consumers make the optimal product decision.
BetaDater,"BetaDater.com is web service that provides honest, anonymous, constructive feedback to empower you to maximize your dating potential."
BetterFit Technologies,BetterFit Technologies uses predictive analytics and natural language processing to engage with patients unlike anyone else. Their prediction engine anticipates individual reactions to ...
BevSpot,B2B platform for the $450B alcohol distribution industry better connecting licensed parties and enabling them to more easily transact.
BigEd,"BigEd is a web platform that weaves together the world’s best university courses into one unified map of knowledge, on the concept level."
BikePath,BikePath tells bike and scooter sharing companies where to equitably and efficiently place bikes and scooters.
BillCrew,We connect people with large medical bills with experts who help them negotiate and reduce them. Because dealing with an illness is hard enough.
bio.x,x.bio provides a cost-efficient individual-tailored therapeutics platform for human diseases.
BioDevices,Biodevices is making knowledge more accessible by changing the way science is done.
BioDiscovery,"Genomic data analyses for cancer (research / LDT clinic applications), and constitutional cytogenetics (pre- and post-natal, and research). DNA copy number and structural variant ..."
BiomaRx,"BiomaRx is a promising oncology-focused startup focused on the diagnosis and treatment of pancreatic cancer. We are spun out of Harvard Medical School and BIDMC, with global IP secured. ..."
BiomassTrust,"To transform bioenergy using a disruptive IP, capable to open the international market of biofuel for tropical countries"
Biomiic,A platform to effectively discover bacterial DNA in poop.
Biosay,"Biosay lets people see how their surroundings and relationships impact their health in real-time, via biometric measurements."
Bit Farm,We use local farm data and advanced machine learning algorithms to predict crop yield and improve farming decisions.
Bizmpya,Bizmpya provides Kenyans with an online platform to buy and sell foreign and domestic goods and services.
Black Box Traffic Incentives,Using a black box to give give discounts on toll roads to good drivers to reduce phantom traffic and improve road safety
Blackwell Timepieces,Blackwell Timepieces: veteran-owned startup manufactures high caliber watches that provide service dogs for wounded vets. One Watch = One Dog.
Blank Schools,Blank Schools catalyzes innovation in the education sector by supporting innovators to design and launch radically different new school models.
BlocKardia,BlocKardia is a decentralized marketplace that connects smart devices to the gig economy.
Blue Box,"To provide access to clean drinking water by creating a sustainable, simple, and mobile water filtration system."
Blue Capital,Blue is your automated investment advisor that tailors and manages your own global portfolio. All of this in a simpler and cheaper way.
Blue Skies,We reduce the health toll of air pollution
Blue Therapeutics,"We are developing potent, non-addictive painkillers."
Bluelaces Theater Company,"Bluelaces Theater Company creates immersive, multi-sensory theatrical experiences for audiences with autism and other developmental differences."
Bobea Group,Bobea is a sustainable agriculture and social empowerment company. Our initial operations will be based in Kenya.
Bon’Ap,"Eat healthy at work: register your health profile and your nutrition goals, we guide you to order, deliver meals to your office, and track your diet!"
Book in a Box: Rise Book Series,"An interactive book series where young girls are given the opportunity to create, build and amplify a storybook in an online community."
Booya Fitness,"Booya Fitness, Inc. is an online platform for on-demand fitness videos. The platform provides an integrated experience to allow customers to overcome their personal hurdles towards a ..."
Boréas Semiconductor,Boréas provides longer battery life by reducing the most important metric in today’s touch enabled electronic systems: power consumption.
BossGirl,We connect senior women leaders with ambitious women for mentorship to break the barriers that prevent their empowerment
Boston Foods,"At Boston Foods, our mission is to make healthy, fresh, high-quality food available to food insecure communities."
Boston Votes!,"Through our college-high school mentorship program, BV works towards 100% civic engagement in MA high schools and beyond"
Bounce Imaging,Bounce Imaging builds throwable tactical cameras and sensors to keep first responders safe.
Boxed Nutrition,Boxed Nutrition is an online health food store that ships nutritious and environmentally sustainable products to your door in a box!
BrainCo,"We are BrainCo. With experts in the field of the most advanced brain and neuroscience, we work our hardest to bring Brain-Machine Interface (BMI) out of science fictions."
BrainSpec,"BrainSpec is a software platform that enables efficient, accurate, and non-invasive diagnosis of brain disorders."
BrandQR,"We take brands, logos and graphics and turn them into fully functioning QR codes!"
Breaktime,Breaktime prevents long-term chronic homelessness by launching the careers of young adults experiencing homelessness
Breen Technologies,"Breen develops smart, reliable security for new and legacy IoT devices connected to critical infrastructure, so you get the productivity from IoT, not the vulnerability."
Brevo,Brevo is a new mobile application that allows you to quickly explore what’s happening around you (what are your friends doing? who’s available?) and plan it easily so that ...
BridgeAlpha Technology,"Job Matching: Delegates your experience and preference to BridgeAlpha, we search for the globally best match!"
BriefMe,"BriefMe identifies the most consumed and shared news articles of the moment, determined by the BriefMe Score, making it easy to stay informed.  Visit getbriefme.com for more information."
Bright Future,Bright Future provides social entrepreneurship workshops and curricular materials focused on key 21st century skills.
Brooklin,Brooklin is your very own personal assistant available 24/7.
Buddha Boy,"Buddha Boy is a meditation app powered by your heartbeat, enabling users to visualize and manage their stress level."
buddy sySTEM,buddy sySTEM is an online STEM curriculum for elementary students focusing on engineering and global collaboration/peer feedback.
Build Opportunity Lead Discovery,B.O.L.D is a community of youth teachers serving underprivileged students in NYC homeless shelters and fighting educational inequity.
BuildMyCredit,BuildMyCredit enabled the underbanked of America build a financial track record to help them access mainstream credit.
BuildWell Source,"The BuildWell Source is an online, user-vetted resource library to accelerate climate-friendly construction practices"
BundA+,"Take pictures, save children."
Bundle,"We provide flexible child care as an employee benefit for working parents, helping employers reduce absenteeism and attract and retain talent."
Bundlix,Bundlix is an end-to-end business analytics software for the over 400 hospitals in 49 states that are transforming healthcare through bundled payments. Bundled payments are a single ...
Bunny Buddies,A digital tool for parents in conflict zones to ensure their child has normal brain development.
Buoy,"When you’re sick, Buoy helps you find your way back to health. Use Buoy to figure out what’s wrong and what to do."
Burgers To Beasts,"We help individuals create habits with ease, by designing a way of mindful eating that’s unique to their bodies & goals."
Butucu,"Butucu aims to help retail stores improve the customer experience by allowing them to push custom, relevant content to in-store shoppers while providing high-level analytics."
BuzzTask,"Buzztask is an online market place for services, where busy mothers can outsource their tasks to credible and accountable users."
by REVEAL,We are a retail company introducing consumers to fashion brands via our small-format physical shopping experiences.
bytesize,Bytesize builds Messenger bots that make great events happen.
Cache Chocolate,Cache Chocolate delights food lovers with fresh handmade candy. We donate one school lunch for every item purchased.
Cadenza,A marketplace for sharing your talents within the community.
Caila,CAILA is a career concierge that uses AI to upskill working learners by suggesting personalized learning pathways of courses for advancement.
Cake,"CAKE repositions death, empowering our users and their loved ones to live their best lives. Our first-in-class, mobile-friendly web app helps users discover their endâ€ofâ€life ..."
Cambiagua,"Cambiagua uses solar power to deliver clean drinking water and off-grid water heating to vulnerable consumers, helping to build healthier communities."
Camino Financial,"Camino Financial advises small business on securing capital and building their business credit. The Company provides access up to $500,000 in business funding and assists its clients in ..."
Campfire,Campfire addresses missed opportunities in forming community by illuminating similarities between people.
Campus Doorman,"We are the one stop shop for hbs, giving students the best deals on everything and unbeatable concierge services. From free groceries to discounted furniture, we guarantee that we will ..."
Canopy Education,Canopy – a platform where teachers learn to code their practice.
Capsul,Capsul is an iphone application that allows you to view and share videos based on geographic location at which they were taken.
Capsule,Capsule is an interactive photo wall that uses facial recognition software to deliver personalized messages to the user.
Cardinal Wind,Cardinal Wind uses probabilistic modeling and machine learning to improve site assessment and reduce capital costs in the wind industry.
Careboxr,Stress sucks! Help friends fight stress and show how much you care by sending them a personalized Carebox today.
CareerCombo,CareerCombo is a career exploration platform that helps young adults both discover and plan for real careers that combine their different passions.
CareerEscalatorcom,CareerEscalator.com provides microcertifications for a wide range of job functions and matches certified candidates with job opportunities.
CareerVillage,CareerVillage: online knowledge community where students ask Questions & professionals answer. Fun to answer. Kids get inspired. Teachers LOVE it!
CareHub,A care management system for senior living facilities that leverages predictive analytics to predict & prevent falls & other adverse events.
CarePort,"An intelligent online platform for hospitals, patients, and skilled nursing facilities to coordinate efficient and high-quality discharges."
CareSolver,CareSolver is an online care coordination platform that helps informal family caregivers of seniors using customized action oriented care guides to help them provide better more ...
Carewrite,"Carewrite is a mobile tool that will take caregiving into the 21st century. Through this intuitive and user-friendly electronic shared platform, accessible on any mobile device, ..."
CareZoom,We are developing a high-tech tool that helps healthcare providers adopt best practices for excellent patient care.
CareZooming,CareZooming is a web-based learning platform and expert network providing clinicians with technical expertise for their next healthcare delivery project.
Caribé,"Caribé makes exotic fruit juices that are low in sugar and high fiber, and donates some of the proceeds to education initiatives in the Caribbean."
Carriage,We help get electric vehicle charging infrastructure installed where drivers need it and maintained when they need it.
CashExchange,"The CashExchange team is building a disruptive peer-to-peer online platform, that will allow people to save banking fees and other transaction costs when making international U$ Dollar ..."
Catalant,HourlyNerd is an online marketplace that connects small and medium-sized businesses to MBA students and alumni to help solve critical business challenges.
Catalog,Catalog is harnessing the power of DNA to enable the next generation of digital data archives.
Catalyst,"Catalyst is a media aggregator, a blogging platform, and a crowdfunding tool that transforms the way users engage with news content."
Catalyst for World Water,Catalyst for World Water is a social enterprise that catalyzes solutions to the global water crisis by harnessing solar energy for water purification.
Cellular Agriculture Society,"Clean, Animal-free, Sustainable: Cellular Agriculture Society"
Center for Intimacy Justice,Rewriting business rules: Coalition/campaign to allow advertising & entrepreneurship of women’s intimate health products
Change The Tune ( The Lab),An innovative and accessible summer program model providing impactful learning opportunities for youth and educators.
change:WATER Labs,"change:WATER Labs is developing a revolutionary technology to drastically minimize the increasing volumes of distributed wastewater in developing countries, using a super-hydrophilic ..."
Chapter 42:,Police and mentors meet ex-offenders upon release and helps reintegrate them as productive self-sufficient citizens.
ChaseIQ,"End-to-end service for car retailing, with big data driving up value for all stakeholders involved! Think Uber-like simplicity in auto sales!"
ChatENG,ChatENG is the only remote English learning class designed specifically for the needs of students in Asia.
Checked In,Checked In is an iOS application that helps users identify their emotions over time and share their updates with close friends.
CheckMate Diabetes,Checkmate is a smartphone app created to both monitor and motivate blood-glucose tracking.
Chefstro,Chefstro is a startup attempting to redefine social dining. We bring student chefs from the world’s best culinary schools to craft fabulous meals in your kitchen. We aim to create ...
ChestX,Chest binders and sports bras cause health issues when worn too long. ChestX measures compression in smart fabric to adjust the force across the breasts.
ChicDrop,"ChicDrop connects fashion artists and apparel brands to create a fun, no-stress, and personalized shopping experience for female shoppers on a budget."
chillbaby,"chillbaby is a subscription service that provides parents with clothing based on their child’s age, style, and the season. It’s been called the Netflix for baby clothes, ..."
China Social Innovation Initiative,"A think tank that provides strategy consulting, training, and incubation around social innovation policy and civil society in China."
Chirp,Chirp is a smart baby vital monitoring system integrated in the car seat. We’re using sensor technology to make journeys safer for little ones!
Chirps Chips,"At Six Foods, we believe six legs are better than four, and we make healthy, delicious, and sustainable foods from insects."
ChitChat VR,"ChitChat VR offers a suite of immersive virtual reality videos, using contextual clues and cultural cues to promote a mastery of speaking English."
CHNMAIL,CHNMAIL aims to stop deaths from preventable blood loss of service members through our proprietary body armor
Chord,"Chord allows people to buy a home in increments, building ownership at their pace, and unlocking a new vehicle for institutional investment."
Choreosome,"Choreosome is a platform that uses markerless motion capture technology to record, preserve and share the world’s ethnic and cultural dance heritage."
Churchill Foods,Our venture sustainably and ethically grows meat without killing an animal.
Chyamata,Chyamata provides enterprise development services to strengthen the ecosystem of MSMEs in Nepal.
Citysom,"Ever learned about a cool thing to do after the event has occurred? Citysom is the most comprehensive local events guide, tailoring its content to your lifestyle! Join now and never ..."
CityVenture,Affinity-based equity crowdfunding portal that creates funding opportunities for entrepreneurs outside of major entrepreneurial hubs.
Civindex,Civindex is a tool to measure individual activities in social media scoring how much a person impacts and engages in positive social change.
Civiteca,"Entrepreneurs want access to capital and investors want exceptional opportunities, we ensure they cross paths."
ClassForward,ClassForward uses its online video platform to provide teachers with evidence based feedback from instructional coaches
Classroom Media Workshop,Classroom Media Workshop (CMW) is an online professional development learning platform and teacher community. CMW’s core offering is a 3-week online course for K-12 teachers who ...
ClearMind,"ClearMind transcribes, records, and stores user speech in the background at all times and is privacy law compliant."
ClearView,ClearView is developing revolutionary technology to help low-vision students access visual materials in the classroom.
cleverlayover,Flight search engine that finds cheaper flights by combining two roundtrip tickets.
ClimaCell Inc.,We’re using wireless communication networks to sense the environment and provide better real-time weather data and nowcasting to businesses.
Climate Change Challenge,An educational app that identifies & encourages alternatives to current behaviors of students to be more sustainable.
Cloud Buster,We are a database software acting as a centralized hub for companies adhering to the new CCPA privacy laws.
Cloudcommuting,Cloudcommuting creates the first bike sharing service in the world that will replace trucks and employees with paid users for redistributing bikes.
CloudSolar,A superior model to community solar that unleashes solar energy for every business and family in the world.
CloudStore,CloudStore matches products to a network of retailers with space.
Club Cana,"Club Cana is a soccer apparel brand and club, inspired by the global heritage and style of the sport."
Coach Me Now,CoachMeNow provides a platform through which young athletes receive video analysis of his/her athletic performance from elite coaches.
Coach.ai,Coach.ai platform uses AI to democratize corporate coaching for building behavioral competencies among employees
CoachAb,CoachAb is an online platform where coaches/athletes who want to travel abroad get matched with clubs that host them for free in exchange for free coaching.
COCO Music Series,COCO Music Series aims to desegregate classical music by presenting musicians and composers of color in the classical idiom alongside other genres.
Coco Voice,"Coco Voice is a free, all-in-one communication app that allows users to share voice messages, text messages, and pictures."
Code Hope,Create awareness amongst stakeholders and train teachers to teach computational thinking to grade 6 to 8 students
CodeBlue,"Our product allows hospitals to use their electronic health data to answer clinical questions in real time, when no evidence-based guidelines exist."
Coders Beyond Bars,To give incarcerated individuals access to skills and support to prepare them for successful reentry into society and careers in high-tech industries
Coding it Forward,Coding it Forward is a 501(c)(3) nonprofit empowering the next generation of technology leaders to create social change.
CodingConnect,"By streamlining the matching process, we connect elementary schools with quality coding resources to help them create after-school coding programs."
CoffeeGo,"CoffeeGo is an app that allows users to order coffee anytime, anywhere, and pick it up at the nearest coffee shop. Skip the line by simply placing your order beforehand and picking up ..."
Collabo,Collabo is a mobile community for medical professionals and pre-professionals to share knowledge and skills through in-app interactions.
CollabReality,"CollabReality uses VR simulations to develop interpersonal skills (leadership, collaboration, etc.) in the workplace"
College Copywriters,"An online marketplace where college students get paid (well!) to write high quality, affordable web copy in their spare time."
College Link,We connect small colleges with students abroad who wish to study in the U.S.
College Vine,Eagle (app) is the first integration accelerator for international students in the US that eases the transition to American-style academics/culture.
Come Home,"Come Home helps prospective foster care parents foster and raise LGBTQ, underrepresented minority youth"
Comfy Ball,Comfy Ball is an interactive device that engages pediatric patients in their own pain management.
CommonHealth,"CommonHealth is a social media platform that focuses on using social support to promote wellness, access, education, and connection."
Community Collective,"Community Collective is a platform connecting friends/family to save as a group to: build savings, access affordable loans, and improve credit scores."
